district,name,contact,image,party
31,Marisol Alcantara,http://www.nysenate.gov/senators/marisol-alcantara/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/marisol_alcantara.jpg?itok=NsyftGXk,D
32,Ruben Diaz,http://www.nysenate.gov/senators/ruben-diaz/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/diazheadshotnolayerscroplores.jpg?itok=wBqJh-ei,D
33,Gustavo Rivera,http://www.nysenate.gov/senators/gustavo-rivera/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-29-14%29%20Rivera-HS-%20009.jpg?itok=C9Q_AhW1,"D, WF"
34,Jeffrey D. Klein,http://www.nysenate.gov/senators/jeffrey-d-klein/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2802-04-13%29%20Klein-HS-001.jpg?itok=E7pDCrng,D
35,Andrea Stewart-Cousins,http://www.nysenate.gov/senators/andrea-stewart-cousins/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/asc_headshot.jpg?itok=6c215OQi,"D, IP, WF"
36,Jamaal Bailey,http://www.nysenate.gov/senators/jamaal-bailey/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/bailey-hs.jpg?itok=tnu6jIZO,D
37,George Latimer,http://www.nysenate.gov/senators/george-latimer/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/gl_2.jpg?itok=-uO0ETEl,D
38,David Carlucci,http://www.nysenate.gov/senators/david-carlucci/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2812-07-10%29%20Carlucci-HS-028.jpg?itok=r6MWzwrR,D
39,"William J. Larkin, Jr.",http://www.nysenate.gov/senators/william-j-larkin-jr/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2803-25-11%29%20Larkin-HS-020.jpg?itok=F6vuxdH-,"R, C"
40,Terrence Murphy,http://www.nysenate.gov/senators/terrence-murphy/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/new_york_state_senator_terrence_p._murphy.jpg?itok=ElSviRUt,"R, C, G, IP, SC"
41,Sue Serino,http://www.nysenate.gov/senators/sue-serino/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Serino-075.jpg?itok=N9fWozn4,"R, C, IP"
42,John J. Bonacic,http://www.nysenate.gov/senators/john-j-bonacic/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/760x377-Bonacic_0.jpg?itok=UIZpLp2J,"R, C, IP"
43,Kathleen A. Marchione,http://www.nysenate.gov/senators/kathleen-marchione/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2812-11-12%29%20Marchione-HS-015RET.jpg?itok=ZeEfpzO4,"R, C, IP"
44,Neil D. Breslin,http://www.nysenate.gov/senators/neil-d-breslin/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/07-20-11_breslin_-hs-032.jpg?itok=pQAaE17o,"D, IP, WF"
45,Betty Little,http://www.nysenate.gov/senators/betty-little/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/24Little.jpg?itok=kdKQZsPC,"R, C, IP"
46,"George A. Amedore, Jr.",http://www.nysenate.gov/senators/george-amedore-jr/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Amedore-045.jpg?itok=o18bikEC,"R, C, IP"
47,Joseph A. Griffo,http://www.nysenate.gov/senators/joseph-griffo/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-18-08%29%20Griffo-HS-020.jpg?itok=uAjbUe2F,"R, C, IP"
48,Patty Ritchie,http://www.nysenate.gov/senators/patty-ritchie/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-25-11%29%20Richie-HS-055.jpg?itok=qdCfWGcD,"R, C, IP"
49,James Tedisco,http://www.nysenate.gov/senators/james-tedisco/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official_tedisco-hs.jpg?itok=tfsnmXHc,"R, C"
50,John A. DeFrancisco,http://www.nysenate.gov/senators/john-defrancisco/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-14-13%29%20Defrancisco-HS-008.jpg?itok=eoJbdnr3,"R, C, IP"
51,James L. Seward,http://www.nysenate.gov/senators/james-l-seward/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-18-08%29%20Seward-HS-050.jpg?itok=lmurNftH,"R, C, IP"
52,Fred Akshar,http://www.nysenate.gov/senators/fred-akshar/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official_akshar_headshot_-_fixed_2.jpg?itok=-CaLMEKo,"R, C, IP"
53,David J. Valesky,http://www.nysenate.gov/senators/david-j-valesky/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official_head_shot_with_flag.jpg?itok=Pu_fpStk,"D, IP"
54,Pamela Helming,http://www.nysenate.gov/senators/pamela-helming/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/01-03-17_helming-hs-018.jpg?itok=U3lZHfGd,R
55,Rich Funke,http://www.nysenate.gov/senators/rich-funke/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Funke-015.jpg?itok=onVX5KQp,"R, C, IP"
56,Joseph E. Robach,http://www.nysenate.gov/senators/joseph-e-robach/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/senate_headshot.jpg?itok=0vxABuuV,"R, C, IP"
57,Catharine Young,http://www.nysenate.gov/senators/catharine-young/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/young%20headshot-ret.jpg?itok=MT3q_K-R,"R, C, IP"
58,Thomas F. O'Mara,http://www.nysenate.gov/senators/thomas-f-omara/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/02-10-15_official_hs_omara-hs-040.jpg?itok=U2FyZimr,"R, C, IP"
59,Patrick M. Gallivan,http://www.nysenate.gov/senators/patrick-m-gallivan/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/09-15-16_gallivan-hs-012a.jpg?itok=wI-u7V-i,"R, C, IP"
60,Chris Jacobs,http://www.nysenate.gov/senators/chris-jacobs/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/chris-jacobs.jpg?itok=jyWBxlnN,R
61,Michael H. Ranzenhofer,http://www.nysenate.gov/senators/michael-h-ranzenhofer/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-26-09%29%20Ranzenhofer-HS-019.jpg?itok=zfur-3oO,"R, C, IP"
62,Robert G. Ortt,http://www.nysenate.gov/senators/robert-g-ortt/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2803-19-15%29%20Ortt-HS-057.jpg?itok=ovaldghH,"R, C, IP"
63,Timothy M. Kennedy,http://www.nysenate.gov/senators/timothy-m-kennedy/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2805-08-13%29%20Kennedy%20-HS-021.jpg?itok=CTJHgbSg,"D, IP, WF"
